Date,Game,Coop,james,john,robert,michael,william,david,richard,joseph,thomas,charles,chris,daniel,matt,tony
2/9/20,Through the Ages,,,,0,,0,,,,,,,1,0,
2/7/20,Small World,,0,,0,0,0,,,,,,,1,,
2/2/20,Lovecraft Letter,,,,1,0,,,,,0,,,0,,
2/6/20,Love Letter Online,,,1,,,,,,,,,,0,,
2/6/20,Lovecraft Letter,,,1,,,,0,0,0,0,,,,,
2/4/20,Small World,,,,0,0,,,,,0,,,1,,
2/3/20,Star Realms,,1,,0,0,0,,0,,0,,,0,,
1/31/20,Star Realms,,0,,,1,,,,,,,,0,,
1/30/20,Chess,,,1,,,,0,,,,,,,,
1/30/20,Chess,,,0,,,,1,,,,,,,,
1/29/20,Chess,,,1,,,,0,,,,,,,,
1/20/20,Lovecraft Letter,,0,0,0,1,,0,,,,,,0,,
1/16/20,Court of the Dead: Mourner's Call,,0,,0,,,1,,0,,,,,,
1/16/20,Lovecraft Letter,,,0,,,1,,0,,0,,,0,,
1/16/20,Lovecraft Letter,,,0,,,1,,0,,,,,0,,
1/14/20,Lovecraft Letter,,1,,,,0,,,,,,,0,,
1/14/20,Lovecraft Letter,,0,,,,1,,,,,,,0,,
1/12/20,Scythe,,1,0,0,,,0,0,,,,,0,,
1/10/20,Lovecraft Letter,,,0,,1,0,,0,,,,,0,,
1/10/20,Lovecraft Letter,,,0,,0,1,,0,,,,,0,,
1/9/20,Shadows Over Camelot,,,1,,1,1,,1,,0,,,1,,
1/8/20,Lovecraft Letter,,,0,,0,0,,0,,1,,,0,,
1/8/20,Lovecraft Letter,,,0,,0,0,,1,,0,,,0,,
1/7/20,Lovecraft Letter,,,,0,0,1,0,0,,,,,0,,
1/6/20,Chess,,,0,,,,1,,,,,,,,
1/6/20,Saboteur,,0,0,0,0,1,0,0,0,,,,0,,
1/3/20,Sagrada,,0,,,,,0,0,0,1,,,0,,
1/2/20,Resistance,,0,,,,,0,0,0,,,,1,,1
1/2/20,Resistance,,0,,,,,1,0,1,,,,1,,1
12/16/19,Code Names,,0,0,1,0,,0,1,1,1,,,0,,
12/15/19,Salt,,,,,,,1,,,,,,,,
12/15/19,Eclipse,,0,,1,,0,0,0,,,,,0,,
12/12/19,Code Names,,1,0,1,0,0,0,1,,1,,,0,,
12/9/19,Code Names,,1,1,1,0,,1,0,0,0,,,1,,
12/6/19,Quantum,,0,,,1,,0,0,,,,,,,
12/5/19,Love Letter Online,,,,1,,,,,,,,,0,,
12/5/19,Love Letter Online,,,,1,,,,,,,,,0,,
11/22/19,Love Letter Online,,,0,1,,0,,,,,,,0,,
11/22/19,Love Letter Online,,,0,0,0,1,,,,,,,,,
11/22/19,Code Names,,1,1,0,1,0,1,1,,0,,,0,,
11/21/19,Love Letter Online,,,0,1,,,,,,,,,0,,
11/21/19,Code Names,,,1,0,0,1,0,1,1,0,,,1,,
11/20/19,Code Names,,0,0,1,0,0,1,0,1,,,,1,,
11/18/19,Love Letter 2.0,,0,,1,0,0,,,,0,,,0,,
11/18/19,Love Letter 2.0,,0,,1,0,0,,,,0,,,0,,
11/11/19,Love Letter Online,,,0,1,,0,,,,,,,,,
11/11/19,Love Letter Online,,,1,0,,,,,,,,,0,,
11/11/19,Love Letter Online,,,0,1,,,,,,,,,,,
11/11/19,Love Letter Online,,,1,,,,,,,,,,0,,
11/11/19,Code Names,,,0,1,0,1,0,,0,,,,1,,
11/8/19,Love Letter Online,,,,,0,,0,,,1,,,,,
11/8/19,Love Letter Online,,,,0,,1,,,,,,,,,
11/7/19,Love Letter Online,,,,1,,0,,,,,,,,,
11/6/19,Love Letter Online,,,,1,,0,0,,,,,,,,
11/6/19,Love Letter Online,,,,0,,1,0,,,,,,,,
11/6/19,Love Letter Online,,,,0,,1,,,,,,,,,
11/6/19,Love Letter Online,,,,0,,1,,,,,,,,,
11/6/19,Love Letter Online,,,,0,,1,,,,,,,,,
11/5/19,Love Letter Online,,,,1,,0,,,,,,,,,
11/5/19,Love Letter Online,,,,0,,1,,,,,,,,,
11/4/19,Love Letter Online,,,,1,,0,,,,,,,,,
11/4/19,Love Letter Online,,,,1,,0,,,,,,,,,
11/1/19,Love Letter 2.0,,,0,,,,,0,0,0,,,0,,
11/1/19,Love Letter 2.0,,,1,,,,,0,0,0,,,0,,
10/31/19,Modern Art,,,0,,,,,0,0,0,,,1,,
10/30/19,Love Letter,,,1,,,0,,1,1,1,,,1,,
10/30/19,Love Letter,,0,0,1,,0,,,0,0,,,0,,
10/29/19,Love Letter 2.0,,,0,,,,,,0,0,,,1,,
10/29/19,Love Letter 2.0,,,0,,,,,,0,0,,,1,,
10/28/19,Love Letter,,,0,,0,0,,0,,1,,,0,,
10/28/19,Love Letter,,,0,1,0,0,,0,,0,,,0,,
10/25/19,Saboteur,,0,0,0,0,,0,0,1,1,,,0,,
10/24/19,Welcome To,,1,0,0,,,0,0,0,0,,,0,,
10/23/19,Modern Art,,,1,,,,,0,0,,,,0,,
10/22/19,Flux,,,0,1,,0,,0,,,,,,,
10/22/19,Flux,,,1,0,,,,0,,,,,,,
10/21/19,Love Letter,,0,,1,,0,,0,,,,,,,
10/21/19,Love Letter,,0,,0,,1,,0,,,,,,,
10/21/19,Love Letter,,0,,,,1,,0,,,,,,,
10/13/19,Ticket to Ride,,1,0,0,,,,,,,,,0,0,
10/13/19,Ticket to Ride,,0,1,0,,,,,,,,,0,0,
10/11/19,Code Names,,,0,1,0,1,,1,,1,,,0,,
10/10/19,Love Letter 2.0,,,0,,,0,1,0,0,,,,,,
10/10/19,Love Letter 2.0,,,0,,,0,0,1,0,,,,,,
10/9/19,Scopa,,,1,,,,,1,0,,,,0,,
10/7/19,Code Names,,1,1,1,,1,1,1,1,1,,,1,,
10/2/19,Modern Art,,,1,,,,,0,0,,,,0,,
10/1/19,Sagrada,,,,,,,,0,0,,,,1,,
9/29/19,Twilight Imperium,,0,,0,,0,,,,,,,0,,
9/27/19,Pass the Pigs,,0,1,,,,,,,,,,,,
9/25/19,Scopa,,,,,,,,,,1,,,0,,
9/25/19,Scopa,,,,,,,,,,1,,,0,,
9/24/19,Sagrada,,,0,,,,,,0,,,,1,,
9/23/19,Scopa,,,1,,,,,0,0,,,,1,,
9/23/19,Scopa,,,1,,,,,0,0,,,,1,,
9/23/19,Scopa,,,0,,,,,1,1,,,,0,,
9/20/19,Love Letter 2.0,,,,0,0,1,,0,,0,,,,0,
9/19/19,Love Letter 2.0,,0,0,1,0,,,,,0,,,0,,
9/19/19,Love Letter 2.0,,0,0,0,1,,,,,0,,,0,,
9/19/19,Love Letter 2.0,,0,0,0,0,,,,,1,,,0,,
9/18/19,Code Names,,0,1,0,0,1,,0,0,1,,,1,,
9/18/19,Pass the Pigs,,,0,1,,,,,,,,,0,,
9/18/19,Pass the Pigs,,1,0,0,,,,,,,,,,,
9/18/19,Pass the Pigs,,0,1,0,,,,,,,,,,,
9/17/19,Pass the Pigs,,,1,0,,,,,,,,,,,
9/17/19,Code Names,,0,0,1,0,1,,0,0,1,,,1,,
9/16/19,Love Letter 2.0,,,0,,1,0,,0,,0,,,0,,
9/16/19,Love Letter 2.0,,,0,,1,0,,0,,0,,,0,,
9/13/19,Love Letter,,0,0,0,,0,,1,,0,,,0,0,
9/13/19,Love Letter 2.0,,0,0,0,,1,,0,,,,,0,1,
9/12/19,Pass the Pigs,,0,1,0,,,,,,,,,0,,
9/12/19,Pass the Pigs,,0,0,0,,,,,,,,,1,,
9/11/19,Pass the Pigs,,0,0,,1,0,,,,,,,0,,
9/11/19,Love Letter,,0,0,,0,1,,,,,,,0,,
9/11/19,Sagrada,,1,0,,0,0,,,,,,,0,,
9/11/19,Pass the Pigs,,0,0,1,,,,,,,,,0,,
9/10/19,Scopa,,,0,,,,,0,,1,,,1,,
9/10/19,Scopa,,,0,,,,,0,,1,,,1,,
9/9/19,Salt,,,1,,,0,,0,,,,,,,
9/9/19,Salt,,,0,,,1,,0,,,,,,,
9/9/19,Salt,,,0,,,0,,1,,,,,,,
9/9/19,Scopa,,,0,,,,,0,,1,,,1,,
9/9/19,Scopa,,,0,,,,,0,,1,,,1,,
9/6/19,Scopa,,,1,,,,,1,,0,,,0,,
9/6/19,Salt,,,,,,1,,,,,,,,,
9/5/19,Sushi Go!,,,1,,,,,0,,,,,0,,
9/5/19,Sushi Go!,,,0,,,,,1,,,,,0,,
9/5/19,Love Letter,,,0,,,,,1,,,,,0,,
9/5/19,Love Letter,,,0,,,,,1,,,,,0,,
9/5/19,Love Letter,,,0,,,,,0,,,,,1,,
9/4/19,Love Letter,,0,1,0,0,,,,,,,,0,,
9/4/19,Love Letter,,0,0,1,0,,,,,,,,0,,
9/1/19,Twilight Imperium,,0,0,0,,,,0,,,,,1,0,
8/30/19,Twilight Struggle,,0,,,,,,,1,,,,,,
8/29/19,Love Letter,,1,,,,,,,0,,,,,,
8/29/19,Love Letter,,0,,,,,,,1,,,,,,
8/29/19,Love Letter,,,0,,1,0,,0,,0,,,0,,
8/28/19,Sagrada,,,0,0,,1,,,,,,,0,,
8/27/19,Love Letter,,,0,0,0,,0,1,,,,,0,,
8/26/19,Twilight Imperium,,,0,0,,0,,,,,,,1,,
8/24/19,Saboteur,,0,1,0,,,0,0,,0,,,0,,
8/23/19,Love Letter,,,,1,,0,,,,,,,,,
8/23/19,Love Letter,,,,0,,1,,,,,,,,,
8/22/19,Love Letter,,1,0,,,,,,,,,,0,,
8/22/19,Love Letter,,0,1,,,,,,,,,,0,,
8/22/19,Love Letter,,1,,,,,,,,,,,0,,
8/22/19,Love Letter,,1,,,,,,,,,,,0,,
8/22/19,Love Letter,,,0,,0,,1,0,0,,,,,,
8/22/19,Love Letter Online,,,,1,,0,,,,,,,,,
8/22/19,Love Letter Online,,,,0,,1,,,,,,,,,
8/22/19,Love Letter Online,,,,0,,1,,,,,,,,,
8/21/19,Love Letter,,,0,,0,,,0,0,1,,,0,,
8/20/19,Love Letter Online,,,,1,,0,,,,,,,,,
8/20/19,Love Letter Online,,,,1,,0,,,,,,,,,
8/20/19,Love Letter Online,,,,1,,0,,,,,,,,,
8/20/19,Love Letter Online,,,,1,,0,,,,,,,,,
8/20/19,Love Letter Online,,,,1,,0,,,,,,,,,
8/20/19,Love Letter Online,,,,0,,1,,,,,,,,,
8/20/19,Love Letter Online,,,,0,,1,,,,,,,,,
8/20/19,Love Letter Online,,,,0,,1,,,,,,,,,
8/20/19,Love Letter Online,,,,0,,1,,,,,,,,,
8/20/19,Love Letter Online,,,,0,,1,,,,,,,,,
8/19/19,Resistance,,0,1,0,1,1,1,0,,1,,,1,,
8/17/19,Resistance,,,1,0,,0,,0,0,0,0,,1,,
8/17/19,Resistance,,,1,0,,1,,1,0,1,1,,1,,
8/16/19,Resistance,,,1,0,,0,,1,1,,1,,,,
8/16/19,Love Letter,,,0,0,,0,,1,,,0,,0,,
8/14/19,Love Letter,,,0,0,,0,0,0,0,0,1,,0,,
8/13/19,Love Letter,,,0,0,,0,0,1,,,0,,,,
8/12/19,Resistance,,,,1,,,1,,,,0,,,,
8/12/19,Resistance,,,,1,,,1,,,,0,,,,
8/12/19,Resistance,,,1,,,1,1,1,,,0,,,,
8/12/19,Resistance,,,1,1,,1,0,1,,,0,,,,
8/11/19,Scythe,,,0,0,,0,1,0,,,0,,,,
8/6/19,Resistance,,,1,1,1,1,1,1,,0,0,0,0,,
8/6/19,Resistance,,,0,0,0,0,0,0,,1,1,1,1,,
8/5/19,Resistance,,,0,1,1,1,1,,,,0,0,1,,
8/3/19,Love Letter,,,1,,0,0,,,,,0,0,0,,
8/2/19,Resistance,,,1,1,1,,0,,,,0,0,,,
8/2/19,Resistance,,,1,1,1,,1,,,,0,0,,,
8/2/19,Resistance,,,0,0,0,,1,,,,1,1,,,
8/1/19,Saboteur,,,0,1,,,,,,0,0,0,0,,
7/30/19,Sushi Go!,,,,,,,,,0,1,0,0,0,,
7/30/19,Sushi Go!,,,,,,,,,0,1,0,0,0,,
7/30/19,Sushi Go!,,,,,,,,,0,1,0,0,0,,
7/30/19,Sushi Go!,,,,,,,,,0,0,0,0,1,,
7/29/19,Love Letter,,,,,0,0,0,,,0,0,0,1,,
7/29/19,Love Letter,,,0,1,,,,,,,,,,,
7/26/19,Love Letter,,,1,0,,0,0,,0,0,0,0,,,
7/25/19,Love Letter,,,0,0,1,,0,,,,0,0,0,,
7/23/19,Sagrada,,,,,,,,,1,0,,,,,
7/23/19,Sagrada,,,,,,,,,0,1,,,,,
7/22/19,Love Letter,,0,0,0,,1,0,0,,,0,0,0,,
7/14/19,Eclipse,,0,,0,,,1,0,,,0,,0,,
7/11/19,Love Letter,,,0,,,,,,,,0,0,1,,
7/10/19,Love Letter,,,0,1,,,,,,,0,,0,,
7/10/19,Love Letter,,,0,0,,,0,0,,1,0,0,0,,
7/9/19,Sushi Go!,,,,,,,,,,1,0,0,0,,
7/8/19,Sushi Go!,,,,,,,1,,,0,0,0,0,,
7/8/19,Sushi Go!,,,,,,,0,,,0,1,0,0,,
7/8/19,Sushi Go!,,,,,,,0,,,0,0,0,1,,
7/4/19,Saboteur,,0,0,,,1,0,0,1,1,1,1,0,,
7/3/19,Salt,,,,,,,,,1,,,,,,
7/2/19,Love Letter,,0,1,,,0,0,,0,0,0,0,0,,
7/2/19,Love Letter,,,,,,,1,0,,,,,,,
7/2/19,Love Letter,,,,,,,1,0,,,,,,,
7/2/19,Love Letter,,,,,,,0,1,,,,,,,
6/29/19,Dixit,,0,0,,,0,1,0,0,0,0,0,,,
6/28/19,Love Letter,,0,0,0,0,1,0,0,0,0,0,0,,,
6/27/19,Love Letter,,1,0,,,0,,,,0,0,,,,
6/27/19,Saboteur,,0,0,0,0,0,,0,0,0,0,1,,,
6/26/19,Love Letter,,0,0,0,,0,,,0,,1,0,,,
6/25/19,Saboteur,,0,0,0,0,0,,0,,,1,0,,,
6/22/19,Carcassone,,1,0,0,,,,0,0,,,,,,
6/22/19,Carcassone,,0,0,0,,,,1,0,,,,,,
6/21/19,Love Letter,,,,,0,,,,,1,,,,,
6/21/19,Coup: Rebellion,,0,0,1,0,,0,0,0,0,0,0,,,
6/21/19,Coup: Rebellion,,0,0,0,0,,0,0,0,0,1,0,,,
6/20/19,Love Letter,,,0,,,,1,0,,,0,0,,,
6/15/19,Love Letter,,,,,,0,1,,,0,,,,,
6/13/19,Welcome To,,1,0,0,0,0,0,0,0,0,0,0,,,
6/13/19,Welcome To,,0,0,0,0,0,0,0,0,1,0,0,,,
6/10/19,Scythe,,,0,0,,0,1,0,,,0,,,,
6/7/19,Love Letter,,,0,0,0,0,,,0,1,0,0,,,
6/7/19,Carcassone,,,0,1,0,0,,,,,,,,,
6/7/19,Love Letter,,,,,,,,0,0,,1,0,,,
6/6/19,Love Letter,,,,,,,0,1,0,,0,0,,,
6/6/19,Love Letter,,,,,,0,0,,1,,0,0,,,
6/5/19,Sushi Go!,,,1,0,0,,,,,0,,,,,
6/5/19,Sushi Go!,,,0,0,0,,,,,1,,,,,
6/5/19,Love Letter,,,,,,0,0,,1,,0,0,,,
6/4/19,Sushi Go!,,,1,0,0,,,,,0,,,,,
6/4/19,Sushi Go!,,,0,0,0,,,,,1,,,,,
6/4/19,Love Letter,,,,,0,0,,,,1,0,0,,,
6/3/19,Scopa,,,0,0,,,1,,1,,,,,,
6/3/19,Scopa,,,1,1,,,0,,0,,,,,,
6/1/19,Saboteur,,0,0,,0,0,1,0,0,0,0,0,,,
5/30/19,Welcome To,,1,0,0,0,0,0,0,,0,0,0,,,
5/30/19,Welcome To,,0,0,1,0,0,0,0,,0,0,0,,,
5/25/19,Love Letter,,,0,,0,,0,1,0,0,,0,,,
5/24/19,Saboteur,,0,0,,0,,0,,0,0,,1,,,
5/22/19,Love Letter,,0,0,,0,0,0,0,1,0,,,,,
5/18/19,Love Letter,,0,,0,0,1,0,,,0,,,,,
5/17/19,Love Letter,,,1,0,0,0,0,,,0,,,,,
5/17/19,Love Letter,,,,,,,1,0,0,,,,,,
5/17/19,Tsuro,,,0,,0,0,0,0,,1,,,,,
5/17/19,Tsuro,,,0,,1,1,0,0,,0,,,,,
5/17/19,Tsuro,,,0,,0,1,0,0,,0,,,,,
5/16/19,Coup,,,,0,0,1,0,0,,0,,,,,
5/16/19,Coup,,,,0,0,0,0,1,,0,,,,,
5/15/19,Love Letter,,1,,0,0,0,0,0,,,,,,,
5/14/19,Welcome To,,,0,1,0,,0,0,0,0,,,,,
5/11/19,Love Letter,,1,0,,,,,,,,,,,,
5/10/19,Scopa,,1,0,0,1,,,,,,,,,,
5/9/19,Welcome To,,0,0,1,0,0,0,,0,0,,,,,
5/8/19,Scopa,,,0,1,,,1,,0,,,,,,
5/7/19,Welcome To,,0,0,0,,,0,,0,1,,,,,
5/7/19,Coup: Rebellion,,1,0,0,,,,,0,0,,,,,
5/7/19,Coup: Rebellion,,0,0,0,,,,,0,1,,,,,
5/6/19,Coup: Rebellion,,0,0,0,0,,,,0,1,,,,,
5/4/19,Scopa,,,0,1,,,1,,0,,,,,,
5/3/19,Love Letter,,0,1,,,0,0,,0,,,,,,
5/3/19,Love Letter,,0,0,,,0,1,,0,,,,,,
5/1/19,Welcome To,,0,0,0,,,0,,,1,,,,,
4/30/19,Sushi Go!,,0,0,,,0,,,0,1,,,,,
4/30/19,Sushi Go!,,0,0,,,0,,,1,1,,,,,
4/30/19,Sushi Go!,,0,0,,,1,,,0,0,,,,,
4/27/19,Love Letter,,0,0,0,1,0,0,,0,0,,,,,
4/26/19,Sagrada,,0,1,0,,,,,0,0,,,,,
4/24/19,Love Letter,,,,0,,0,0,,,1,,,,,
4/20/19,Love Letter,,1,0,0,,,0,,0,,,,,,
4/12/19,Coup: Rebellion,,0,1,0,0,0,0,,0,,,,,,
4/11/19,Love Letter,,,,,1,,0,,0,,,,,,
4/11/19,Love Letter,,,,,0,,0,,1,,,,,,
4/10/19,Love Letter,,0,1,,,,,,0,,,,,,
4/9/19,Sagrada,,0,1,,,,,,0,,,,,,
4/9/19,Twilight Struggle,,0,,,,,,,1,,,,,,
4/7/19,Twilight Imperium,,0,0,0,,1,,,,,,,,,
4/6/19,Saboteur,,0,0,1,0,0,1,,0,,,,,,
4/3/19,Love Letter,,,0,0,,,,,1,,,,,,
4/2/19,Resistance,,1,0,1,0,,,,0,,,,,,
4/2/19,Resistance,,0,1,1,0,,,,0,,,,,,
4/2/19,Resistance,,0,0,0,1,,,,1,,,,,,
4/1/19,Love Letter,,0,1,0,0,,0,,,,,,,,
4/1/19,Love Letter,,0,1,0,0,,0,,,,,,,,
3/30/19,Sushi Go!,,,1,,0,0,0,,0,,,,,,
3/30/19,Sushi Go!,,,0,,1,0,0,,0,,,,,,
3/30/19,Sushi Go!,,,0,,0,1,0,,0,,,,,,
3/30/19,Sushi Go!,,,0,,0,1,0,,0,,,,,,
3/28/19,Ticket to Ride,,0,,1,0,0,,,0,,,,,,
3/27/19,Love Letter,,0,,0,0,0,1,,0,,,,,,
3/22/19,Love Letter,,,0,0,0,1,,,0,,,,,,
3/21/19,Coup: Rebellion,,0,0,0,,0,0,0,1,,,,,,
3/20/19,Coup: Rebellion,,1,0,0,0,0,0,0,0,,,,,,
3/19/19,Love Letter,,0,0,0,0,1,,,0,,,,,,
3/16/19,Ticket to Ride,,1,,0,0,0,0,,0,,,,,,
3/14/19,Twilight Struggle,,0,,,,,,,1,,,,,,
3/13/19,Coup,,0,0,1,,0,,,0,,,,,,
3/13/19,Coup,,0,0,1,,0,,,0,,,,,,
3/13/19,Coup,,0,0,0,,0,,,1,,,,,,
3/12/19,Love Letter,,0,0,0,0,1,,,0,,,,,,
3/9/19,Love Letter,,0,0,1,,0,0,,,,,,,,
3/8/19,Saboteur,,0,0,1,0,0,,,0,,,,,,
3/4/19,Scythe,,1,,0,,,0,0,,,,,,,
3/2/19,Saboteur,,0,0,0,0,,1,,,,,,,,
2/27/19,Love Letter,,,0,0,1,0,0,,0,,,,,,
2/15/19,Resistance,,0,,1,1,0,1,,,,,,,,
2/15/19,Resistance,,0,,0,1,0,1,,,,,,,,
2/15/19,Resistance,,1,,0,0,1,1,,,,,,,,
2/14/19,Coup: Rebellion,,1,0,0,,0,,,0,,,,,,
2/14/19,Coup: Rebellion,,1,0,0,0,0,,,0,,,,,,
2/14/19,Coup: Rebellion,,0,0,1,0,0,,,0,,,,,,
2/14/19,Coup: Rebellion,,0,0,1,0,0,,,0,,,,,,
2/13/19,Love Letter,,0,,1,,,0,,0,,,,,,
2/13/19,Love Letter,,0,,0,,,1,,0,,,,,,
2/12/19,Love Letter,,1,0,0,0,0,0,0,,,,,,,
2/11/19,Twilight Imperium,,0,0,0,,0,1,0,,,,,,,
2/8/19,Love Letter,,0,0,0,0,0,,0,1,,,,,,
2/7/19,Coup: Rebellion,,0,0,1,0,0,0,,0,,,,,,
2/7/19,Coup: Rebellion,,0,0,0,1,0,0,,0,,,,,,
2/7/19,Coup: Rebellion,,0,0,1,0,0,0,,0,,,,,,
2/6/19,Tsuro,,0,0,0,0,1,0,,0,,,,,,
2/4/19,Love Letter,,1,0,0,0,0,0,,0,,,,,,
2/1/19,Coup: Rebellion,,0,0,0,1,,,0,0,,,,,,
2/1/19,Coup: Rebellion,,0,0,0,1,,,0,0,,,,,,
2/1/19,Coup: Rebellion,,0,1,0,0,0,0,,,,,,,,
1/31/19,Ticket to Ride,,0,0,1,0,0,0,,,,,,,,
1/28/19,Coup: Rebellion,,0,0,1,0,0,,0,,,,,,,
1/28/19,Coup: Rebellion,,0,0,0,1,0,,0,,,,,,,
1/28/19,Coup: Rebellion,,0,0,0,0,1,,0,,,,,,,
1/23/19,Love Letter,,0,0,0,,0,0,1,0,,,,,,
1/22/19,Tsuro,,1,0,,,,0,0,0,,,,,,
1/21/19,Love Letter,,0,,1,,0,0,,0,,,,,,
1/18/19,Love Letter,,0,1,0,,,0,0,0,,,,,,
1/17/19,Sagrada,,0,0,1,,,0,,0,,,,,,
1/16/19,Love Letter,,0,0,1,,0,0,,0,,,,,,
1/15/19,Sushi Go!,,0,0,0,,1,0,,,,,,,,
1/15/19,Sushi Go!,,0,1,0,,0,,,0,,,,,,
1/15/19,Sushi Go!,,0,0,0,,1,,,0,,,,,,
1/14/19,Scythe,,,0,0,,,1,0,,,,,,,
1/11/19,Love Letter,,0,0,0,0,,1,,,,,,,,
1/10/19,Tsuro,,1,0,0,0,0,0,0,0,,,,,,
1/10/19,Tsuro,,0,0,0,0,1,0,0,0,,,,,,
1/10/19,Tsuro,,0,0,0,0,1,0,0,0,,,,,,
1/8/19,Love Letter,,0,1,0,0,0,,,,,,,,,
1/7/19,Tsuro,,0,0,0,1,0,0,0,,,,,,,
1/7/19,Tsuro,,0,0,0,1,0,0,0,,,,,,,
1/7/19,Tsuro,,1,0,0,1,0,0,0,,,,,,,
1/4/19,Love Letter,,1,0,,,,0,,,,,,,,
1/4/19,Love Letter,,0,1,,,,0,,,,,,,,
12/18/18,Tsuro,,1,0,0,0,0,0,,,,,,,,
12/18/18,Tsuro,,0,0,1,0,0,0,,,,,,,,
12/17/18,Tsuro,,0,1,0,0,0,0,,,,,,,,
12/17/18,Tsuro,,0,0,0,1,0,0,,,,,,,,
12/17/18,Tsuro,,0,0,0,1,0,0,,,,,,,,
12/17/18,Tsuro,,0,0,0,1,0,0,,,,,,,,
12/14/18,Eclipse,,0,0,0,1,0,0,,,,,,,,
12/10/18,Dixit,,1,0,0,0,0,0,,,,,,,,
12/6/18,Dixit,,0,0,1,0,0,0,,,,,,,,
12/6/18,Love Letter,,0,0,1,0,0,0,,,,,,,,
12/6/18,Love Letter,,0,0,0,0,1,0,,,,,,,,
12/5/18,Love Letter,,0,0,0,0,1,0,,,,,,,,
12/5/18,Love Letter,,0,0,0,0,0,1,,,,,,,,
12/5/18,Love Letter,,0,0,0,0,0,1,,,,,,,,
12/4/18,Love Letter,,0,0,1,0,0,0,,,,,,,,
12/3/18,Sagrada,,1,0,0,0,0,0,,,,,,,,
11/30/18,Love Letter,,0,0,1,0,0,0,,,,,,,,
11/26/18,Love Letter,,0,0,0,1,0,0,,,,,,,,
11/26/18,Tsuro,,0,0,0,1,0,0,,,,,,,,
11/20/18,Tsuro,,0,0,0,1,0,0,,,,,,,,
11/20/18,Tsuro,,0,1,0,0,0,0,,,,,,,,
11/15/18,Love Letter,,0,0,1,0,0,0,,,,,,,,
11/12/18,Love Letter,,0,0,1,0,0,0,,,,,,,,
11/12/18,Love Letter,,0,0,0,1,0,0,,,,,,,,
11/11/18,Scythe,,0,0,1,0,0,0,,,,,,,,
11/9/18,7 Wonders,,0,0,0,1,0,0,,,,,,,,
11/8/18,Code Names,,1,0,0,1,0,1,,,,,,,,
11/7/18,Sushi Go!,,1,0,0,0,0,0,,,,,,,,
11/7/18,Sushi Go!,,0,1,0,0,0,0,,,,,,,,
11/7/18,Sushi Go!,,0,1,0,0,0,0,,,,,,,,
11/6/18,Carcassone,,1,0,0,0,0,0,,,,,,,,